id,year,month,rating,NB,NB_acc,add_rating,norm_rating,aux,norm_nb
229649,2013,1,3.75,4,4.0,15.0,3.75,47,8.51063829787234
229649,2013,3,3.6666666666666665,3,7.0,26.0,3.7142857142857144,57,5.263157894736842
229649,2013,4,5.0,1,8.0,31.0,3.875,50,2.0
229649,2013,5,4.0,1,9.0,35.0,3.888888888888889,51,1.9607843137254901
229649,2013,6,3.0,1,10.0,38.0,3.8,63,1.5873015873015872
229649,2013,7,4.0,4,14.0,54.0,3.857142857142857,94,4.25531914893617
229649,2013,9,4.5,2,16.0,63.0,3.9375,64,3.125
229649,2013,10,4.0,2,18.0,71.0,3.9444444444444446,56,3.571428571428571
229649,2013,11,3.0,1,19.0,74.0,3.8947368421052633,52,1.9230769230769231
229649,2014,1,3.0,2,21.0,80.0,3.8095238095238093,72,2.7777777777777777
229649,2014,2,3.75,4,25.0,95.0,3.8,48,8.333333333333332
229649,2014,3,2.0,1,26.0,97.0,3.730769230769231,61,1.639344262295082
229649,2014,4,3.8,5,31.0,116.0,3.7419354838709675,73,6.8493150684931505
229649,2014,5,3.6666666666666665,3,34.0,127.0,3.735294117647059,89,3.3707865168539324
229649,2014,6,3.6666666666666665,6,40.0,149.0,3.725,85,7.0588235294117645
229649,2014,7,3.5,4,44.0,163.0,3.7045454545454546,98,4.081632653061225
229649,2014,8,3.333333333333333,6,50.0,183.0,3.66,134,4.477611940298507
229649,2014,9,3.333333333333333,6,56.0,203.0,3.625,132,4.545454545454546
229649,2014,10,3.25,4,60.0,216.0,3.6,118,3.389830508474576
229649,2014,11,4.2727272727272725,11,71.0,263.0,3.704225352112676,122,9.01639344262295
229649,2014,12,4.333333333333333,9,80.0,302.0,3.775,102,8.823529411764707
229649,2015,1,3.8,10,90.0,340.0,3.7777777777777777,128,7.8125
229649,2015,2,4.333333333333333,3,93.0,353.0,3.795698924731183,134,2.2388059701492535
229649,2015,3,3.909090909090909,11,104.0,396.0,3.8076923076923075,160,6.875000000000001
229649,2015,4,4.083333333333333,12,116.0,445.0,3.836206896551724,111,10.81081081081081
229649,2015,5,4.333333333333333,18,134.0,523.0,3.9029850746268657,169,10.650887573964498
229649,2015,6,3.727272727272727,11,145.0,564.0,3.889655172413793,159,6.918238993710692
229649,2015,7,3.652173913043478,23,168.0,648.0,3.857142857142857,275,8.363636363636363
