nb,vertices,support
1245,"[196917, 269814, 269817, 269820, 793722]",14
1229,"[196917, 269814, 247498]",14
1292,"[209260, 269814, 247498, 793722]",14
588,"[269817, 269820, 793722]",14
1559,"[198290, 269814, 269817, 793722, 269820]",14
655,"[269820, 793722, 1322553]",14
1274,"[196917, 269814, 269820, 793722]",14
590,"[269817, 269820, 793722, 1381296]",14
650,"[269820, 793722, 2035312]",14
1096,"[196912, 269814, 209260, 269817, 793722]",14
1098,"[196912, 269814, 209260, 793722]",14
649,"[269820, 793722, 2039935]",14
1134,"[196916, 269814, 269817, 793722]",14
918,"[196912, 269820, 269814]",14
635,"[269817, 734546, 269820]",14
920,"[196912, 269820, 269814, 269817]",14
1022,"[196912, 269814, 269817, 269820, 793722]",14
1287,"[209260, 269814, 247498, 269817, 793722]",14
640,"[269820, 793722, 2558192]",14
1554,"[198290, 269814, 269817, 269820, 793722]",14
883,"[247498, 269820, 269814, 793722, 801094]",14
1630,"[8817383, 10163609]",14
1600,"[2509707, 2530949]",14
1275,"[196917, 269814, 269820, 793722]",14
1373,"[209260, 269814, 269820, 801094]",14
919,"[196912, 269820, 269814, 269817]",14
1244,"[196917, 269814, 269817, 269820, 793722]",14
1375,"[209260, 269814, 269820, 734546]",14
776,"[247498, 269814, 269820, 793722]",14
1301,"[209260, 269814, 269817, 269820, 801094]",14
811,"[247498, 269817, 269814, 269820]",14
1113,"[196916, 269814, 247498, 269817]",14
1232,"[196917, 269814, 247498, 269817, 269820]",14
1233,"[196917, 269814, 247498, 269820]",14
1412,"[209260, 269814, 793722, 269817]",14
1253,"[196917, 269814, 269817, 269820, 793722]",14
938,"[793722, 1236485]",14
1431,"[968557, 1198856]",14
741,"[247498, 269814, 269817, 793722, 269820]",14
1251,"[196917, 269814, 269817, 269820, 247498]",14
721,"[247498, 269814, 269817, 269820, 793722]",14
1346,"[209260, 269814, 269817, 793722]",14
1116,"[196916, 269814, 247498, 269820]",14
1458,"[4408913, 5584607, 13387436]",14
1353,"[209260, 269814, 269817, 734546]",14
1452,"[783726, 793722]",14
767,"[247498, 269814, 269820, 269817, 793722]",14
1252,"[196917, 269814, 269817, 269820, 793722]",14
1234,"[196917, 269814, 247498, 269820, 269817]",14
971,"[2719662, 3526029]",14
1155,"[196916, 269814, 269820, 269817, 793722]",14
1201,"[2039935, 3536508]",14
1000,"[793722, 1381296, 2530949]",14
1200,"[1381296, 13387436]",14
921,"[196912, 269820, 269814, 269817]",14
1302,"[209260, 269814, 269817, 269820, 734546]",14
1230,"[196917, 269814, 247498, 269817]",14
1231,"[196917, 269814, 247498, 269817, 269820]",14
675,"[793722, 801094, 1026189]",14
1522,"[196918, 269814, 269817, 269820, 734546]",14
681,"[795570, 1026189]",14
1388,"[209260, 269814, 269820, 793722, 1381296]",14
1112,"[196916, 269814, 247498]",14
1400,"[209260, 269814, 269820, 1381296]",14
1183,"[269814, 1322553]",14
1107,"[269814, 781110]",14
1490,"[269814, 275111, 793722]",14
1363,"[209260, 269814, 269820, 269817, 734546]",14
1487,"[793722, 1324334]",14
712,"[247498, 269814, 269817, 269820, 734546]",14
1108,"[793722, 1906444]",14
1114,"[196916, 269814, 247498, 269817, 269820]",14
816,"[247498, 269817, 269820, 269814]",14
492,"[269814, 269820, 781110]",14
307,"[269814, 269817, 781110]",14
85,"[269814, 269817, 793722, 734546]",14
90,"[269814, 269817, 793722, 810939]",14
106,"[269814, 269817, 793722, 1381296]",14
108,"[269814, 269817, 801094, 793722]",14
327,"[269814, 269817, 275111, 793722]",14
122,"[269814, 269817, 269820, 812062]",14
135,"[269814, 269817, 269820, 275111]",14
136,"[269814, 269817, 269820, 938725]",14
137,"[269814, 269817, 269820, 1381296]",14
516,"[269814, 793722, 269820, 801094]",14
557,"[269814, 801094, 793722]",14
83,"[269814, 269817, 793722, 269820, 801094]",14
555,"[269814, 793722, 1381296]",14
552,"[269814, 793722, 1026189]",14
265,"[269814, 269817, 793722, 1381296, 269820]",14
522,"[269814, 793722, 734546]",14
256,"[269814, 269817, 734546, 269820]",14
254,"[269814, 269817, 734546, 269820, 793722]",14
527,"[269814, 793722, 810939]",14
185,"[269814, 269817, 269820, 793722]",14
186,"[269814, 269817, 269820, 793722, 1381296]",14
194,"[269814, 269817, 269820, 2273093, 793722]",14
360,"[269814, 269820, 269817, 793722, 801094]",14
118,"[269814, 269817, 269820, 2273093]",14
370,"[269814, 269820, 269817, 2273093]",14
430,"[269814, 269820, 269817, 938725]",14
473,"[269814, 269820, 2558192, 793722]",14
390,"[269814, 269820, 269817, 812062]",14
62,"[269814, 269817, 269820, 781110]",14
432,"[269814, 269820, 269817, 1381296]",14
404,"[269814, 269820, 269817, 734546, 793722]",14
422,"[269814, 269820, 269817, 793722, 801094]",14
453,"[269814, 269820, 793722, 269817]",14
1151,"[196916, 269814, 269820, 793722]",13
257,"[269814, 269817, 734546, 269820]",13
1140,"[196916, 269814, 269817, 269820, 247498]",13
260,"[269814, 269817, 734546, 793722, 269820]",13
1135,"[196916, 269814, 269817, 793722, 269820]",13
452,"[269814, 269820, 793722, 2035312]",13
1131,"[196916, 269814, 269817, 793722]",13
801,"[247498, 269814, 793722, 1381296]",13
783,"[247498, 269814, 269820, 2558192]",13
461,"[269814, 269820, 793722, 1322553]",13
253,"[269814, 269817, 734546, 269820, 793722]",13
1123,"[196916, 269814, 269817, 269820, 793722]",13
250,"[269814, 269817, 269820, 277055]",13
1163,"[196916, 269814, 269820, 247498, 269817]",13
1166,"[196916, 269814, 793722]",13
1194,"[801094, 1026189]",13
480,"[269814, 269820, 734546, 269817]",13
236,"[269814, 269817, 269820, 793722, 1381296]",13
1214,"[196917, 269814, 209260, 247498]",13
1215,"[196917, 269814, 209260, 247498, 269817]",13
1216,"[196917, 269814, 209260, 247498, 269820]",13
445,"[269814, 269820, 793722, 2558192]",13
282,"[269814, 269817, 793722, 269820]",13
273,"[269814, 269817, 793722, 1381296]",13
442,"[269814, 269820, 793722, 2273093]",13
358,"[269814, 269820, 269817, 628635]",13
373,"[269814, 269820, 269817, 793722, 801094]",13
355,"[269814, 269820, 801094, 793722]",13
344,"[269814, 269820, 793722, 269817, 938725]",13
980,"[269817, 793722, 1381296]",13
333,"[269814, 269817, 277055]",13
994,"[793722, 1381296, 2039935]",13
999,"[793722, 1381296, 2039935]",13
893,"[247498, 269820, 2558192]",13
321,"[269814, 269817, 1381296, 793722]",13
1225,"[196917, 269814, 209260, 269820, 793722]",13
414,"[269814, 269820, 269817, 781110]",13
