id,year,month,rating,NB,NB_acc,add_rating,norm_rating,aux,norm_nb
196912,2013,1,4.0,12,12.0,48.0,4.0,616,1.948051948051948
196912,2013,2,4.0,5,17.0,68.0,4.0,580,0.8620689655172413
196912,2013,3,3.8,5,22.0,87.0,3.9545454545454546,651,0.7680491551459293
196912,2013,4,3.3,10,32.0,120.0,3.75,696,1.4367816091954022
196912,2013,5,3.8,10,42.0,158.0,3.761904761904762,757,1.321003963011889
196912,2013,6,3.8125,16,58.0,219.0,3.7758620689655173,631,2.535657686212361
196912,2013,7,3.6666666666666665,6,64.0,241.0,3.765625,782,0.7672634271099744
196912,2013,8,4.533333333333333,15,79.0,309.0,3.911392405063291,932,1.6094420600858368
196912,2013,9,3.923076923076923,13,92.0,360.0,3.9130434782608696,837,1.5531660692951015
196912,2013,10,3.692307692307693,13,105.0,408.0,3.8857142857142857,871,1.4925373134328357
196912,2013,11,4.166666666666667,12,117.0,458.0,3.9145299145299144,898,1.3363028953229399
196912,2013,12,4.2727272727272725,11,128.0,505.0,3.9453125,993,1.1077542799597182
196912,2014,1,3.75,16,144.0,565.0,3.923611111111111,1007,1.5888778550148956
196912,2014,2,4.090909090909091,11,155.0,610.0,3.935483870967742,861,1.2775842044134729
196912,2014,3,4.25,8,163.0,644.0,3.950920245398773,1032,0.7751937984496124
196912,2014,4,4.0,9,172.0,680.0,3.953488372093023,1036,0.8687258687258688
196912,2014,5,4.0588235294117645,17,189.0,749.0,3.962962962962963,1325,1.2830188679245282
196912,2014,6,4.142857142857143,7,196.0,778.0,3.9693877551020407,1209,0.5789909015715468
196912,2014,7,3.9375,16,212.0,841.0,3.9669811320754715,1439,1.111883252258513
196912,2014,8,4.384615384615385,13,225.0,898.0,3.991111111111111,1755,0.7407407407407408
196912,2014,9,4.2,15,240.0,961.0,4.004166666666666,1673,0.8965929468021518
196912,2014,10,3.7142857142857135,14,254.0,1013.0,3.9881889763779528,1714,0.8168028004667445
196912,2014,11,4.0,8,262.0,1045.0,3.9885496183206106,1826,0.43811610076670315
196912,2014,12,3.823529411764706,17,279.0,1110.0,3.978494623655914,1784,0.952914798206278
196912,2015,1,4.363636363636363,22,301.0,1206.0,4.0066445182724255,1571,1.4003819223424572
196912,2015,2,3.909090909090909,11,312.0,1249.0,4.003205128205129,1794,0.6131549609810479
196912,2015,3,4.142857142857143,14,326.0,1307.0,4.00920245398773,1917,0.7303077725612936
196912,2015,4,3.692307692307693,13,339.0,1355.0,3.9970501474926254,1844,0.7049891540130151
196912,2015,5,4.142857142857143,21,360.0,1442.0,4.0055555555555555,2300,0.9130434782608696
196912,2015,6,3.8181818181818175,11,371.0,1484.0,4.0,2057,0.53475935828877
196912,2015,7,3.8947368421052633,19,390.0,1558.0,3.994871794871795,2689,0.7065823726292302
196912,2015,8,3.772727272727273,22,412.0,1641.0,3.983009708737864,2743,0.8020415603353991
196912,2015,9,3.888888888888889,18,430.0,1711.0,3.9790697674418603,2748,0.6550218340611353
196912,2015,10,4.095238095238095,21,451.0,1797.0,3.984478935698448,2761,0.7605939876856211
196912,2015,11,3.7222222222222223,18,469.0,1864.0,3.974413646055437,2402,0.7493755203996669
196912,2015,12,4.083333333333333,24,493.0,1962.0,3.979716024340771,2569,0.9342156481121059
